09:07:18:863 [ALWAYS]	GUDE Logging Started
09:07:18:863 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:07:18:863 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:07:18:863 [ERROR]	Initialize resume cache pointer failure
09:07:18:864 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:07:18:864 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:07:24:646 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:07:24:646 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:07:24:646 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:07:24:646 [ERROR]	Initialize resume cache pointer failure
09:07:24:646 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:07:24:646 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
